maGD|thoiGian|loaiGD|soTien|soTKGui|soTKNhan
GD402|31/01/2025 23:59|LAI|93761|NGAN_HANG|283364411
GD403|28/02/2025 23:59|LAI|84975|NGAN_HANG|283364411
GD404|31/03/2025 23:59|LAI|94369|NGAN_HANG|283364411
GD405|30/04/2025 23:59|LAI|91635|NGAN_HANG|283364411
GD406|31/05/2025 23:59|LAI|95001|NGAN_HANG|283364411
GD407|30/06/2025 23:59|LAI|92248|NGAN_HANG|283364411
GD408|31/07/2025 23:59|LAI|95637|NGAN_HANG|283364411
GD409|31/08/2025 23:59|LAI|95962|NGAN_HANG|283364411
GD410|30/09/2025 23:59|LAI|93181|NGAN_HANG|283364411
GD411|31/10/2025 23:59|LAI|96604|NGAN_HANG|283364411
GD412|30/11/2025 23:59|LAI|93805|NGAN_HANG|283364411
GD413|31/12/2025 23:59|LAI|97251|NGAN_HANG|283364411
GD414|31/01/2026 23:59|LAI|97581|NGAN_HANG|283364411
GD415|28/02/2026 23:59|LAI|88437|NGAN_HANG|283364411
GD416|31/03/2026 23:59|LAI|98213|NGAN_HANG|283364411
GD417|30/04/2026 23:59|LAI|95368|NGAN_HANG|283364411
GD418|31/05/2026 23:59|LAI|98871|NGAN_HANG|283364411
GD419|30/06/2024 23:59|LAI|7913|NGAN_HANG|699982559
GD420|31/07/2024 23:59|LAI|81800|NGAN_HANG|699982559
GD421|31/08/2024 23:59|LAI|82078|NGAN_HANG|699982559
GD422|30/09/2024 23:59|LAI|79700|NGAN_HANG|699982559
GD423|31/10/2024 23:59|LAI|82627|NGAN_HANG|699982559
GD424|30/11/2024 23:59|LAI|80234|NGAN_HANG|699982559
GD425|31/12/2024 23:59|LAI|83181|NGAN_HANG|699982559
GD426|31/01/2025 23:59|LAI|83463|NGAN_HANG|699982559
GD427|28/02/2025 23:59|LAI|75642|NGAN_HANG|699982559
GD428|31/03/2025 23:59|LAI|84004|NGAN_HANG|699982559
GD429|30/04/2025 23:59|LAI|81570|NGAN_HANG|699982559
GD430|31/05/2025 23:59|LAI|84566|NGAN_HANG|699982559
GD431|30/06/2025 23:59|LAI|82116|NGAN_HANG|699982559
GD432|31/07/2025 23:59|LAI|85132|NGAN_HANG|699982559
GD433|31/08/2025 23:59|LAI|85422|NGAN_HANG|699982559
GD434|30/09/2025 23:59|LAI|82947|NGAN_HANG|699982559
GD435|31/10/2025 23:59|LAI|85994|NGAN_HANG|699982559
GD436|30/11/2025 23:59|LAI|83502|NGAN_HANG|699982559
GD437|31/12/2025 23:59|LAI|86570|NGAN_HANG|699982559
GD438|31/01/2026 23:59|LAI|86864|NGAN_HANG|699982559
GD439|28/02/2026 23:59|LAI|78724|NGAN_HANG|699982559
GD440|31/03/2026 23:59|LAI|87426|NGAN_HANG|699982559
GD441|30/04/2026 23:59|LAI|84893|NGAN_HANG|699982559
GD442|31/05/2026 23:59|LAI|88012|NGAN_HANG|699982559
GD443|31/03/2025 23:59|LAI|20695|NGAN_HANG|820133906
GD444|30/04/2025 23:59|LAI|69051|NGAN_HANG|820133906
GD445|31/05/2025 23:59|LAI|71587|NGAN_HANG|820133906
GD446|30/06/2025 23:59|LAI|69513|NGAN_HANG|820133906
GD447|31/07/2025 23:59|LAI|72067|NGAN_HANG|820133906
GD448|31/08/2025 23:59|LAI|72312|NGAN_HANG|820133906
GD449|30/09/2025 23:59|LAI|70217|NGAN_HANG|820133906
GD450|31/10/2025 23:59|LAI|72796|NGAN_HANG|820133906
GD451|30/11/2025 23:59|LAI|70687|NGAN_HANG|820133906
GD452|31/12/2025 23:59|LAI|73283|NGAN_HANG|820133906
GD453|31/01/2026 23:59|LAI|73532|NGAN_HANG|820133906
GD454|28/02/2026 23:59|LAI|66642|NGAN_HANG|820133906
GD455|31/03/2026 23:59|LAI|74008|NGAN_HANG|820133906
GD456|30/04/2026 23:59|LAI|71864|NGAN_HANG|820133906
GD457|31/05/2026 23:59|LAI|74504|NGAN_HANG|820133906
GD458|31/10/2021 23:59|LAI|14009|NGAN_HANG|480034778
GD459|30/11/2021 23:59|LAI|13206|NGAN_HANG|480034778
GD460|31/12/2021 23:59|LAI|13691|NGAN_HANG|480034778
GD461|31/01/2022 23:59|LAI|13738|NGAN_HANG|480034778
GD462|28/02/2022 23:59|LAI|12450|NGAN_HANG|480034778
GD463|31/03/2022 23:59|LAI|13827|NGAN_HANG|480034778
GD464|30/04/2022 23:59|LAI|13426|NGAN_HANG|480034778
GD465|31/05/2022 23:59|LAI|13919|NGAN_HANG|480034778
GD466|30/06/2022 23:59|LAI|13516|NGAN_HANG|480034778
GD467|31/07/2022 23:59|LAI|14013|NGAN_HANG|480034778
GD468|31/08/2022 23:59|LAI|14060|NGAN_HANG|480034778
GD469|30/09/2022 23:59|LAI|13653|NGAN_HANG|480034778
GD470|31/10/2022 23:59|LAI|14154|NGAN_HANG|480034778
GD471|30/11/2022 23:59|LAI|13744|NGAN_HANG|480034778
GD472|31/12/2022 23:59|LAI|14249|NGAN_HANG|480034778
GD473|31/01/2023 23:59|LAI|14298|NGAN_HANG|480034778
GD474|28/02/2023 23:59|LAI|12958|NGAN_HANG|480034778
GD475|31/03/2023 23:59|LAI|14390|NGAN_HANG|480034778
GD476|30/04/2023 23:59|LAI|21424|NGAN_HANG|480034778
GD477|31/05/2023 23:59|LAI|23751|NGAN_HANG|480034778
GD478|30/06/2023 23:59|LAI|23063|NGAN_HANG|480034778
GD479|31/07/2023 23:59|LAI|23910|NGAN_HANG|480034778
GD480|31/08/2023 23:59|LAI|23991|NGAN_HANG|480034778
GD481|30/09/2023 23:59|LAI|23296|NGAN_HANG|480034778
GD482|31/10/2023 23:59|LAI|19869|NGAN_HANG|480034778
GD483|30/11/2023 23:59|LAI|13555|NGAN_HANG|480034778
GD484|31/12/2023 23:59|LAI|14053|NGAN_HANG|480034778
GD485|31/01/2024 23:59|LAI|14100|NGAN_HANG|480034778
GD486|29/02/2024 23:59|LAI|13235|NGAN_HANG|480034778
GD487|31/03/2024 23:59|LAI|14193|NGAN_HANG|480034778
GD488|30/04/2024 23:59|LAI|13782|NGAN_HANG|480034778
GD489|31/05/2024 23:59|LAI|14288|NGAN_HANG|480034778
GD490|30/06/2024 23:59|LAI|13874|NGAN_HANG|480034778
GD491|31/07/2024 23:59|LAI|14384|NGAN_HANG|480034778
GD492|31/08/2024 23:59|LAI|14433|NGAN_HANG|480034778
GD493|30/09/2024 23:59|LAI|14015|NGAN_HANG|480034778
GD494|31/10/2024 23:59|LAI|14529|NGAN_HANG|480034778
GD495|30/11/2024 23:59|LAI|14108|NGAN_HANG|480034778
GD496|31/12/2024 23:59|LAI|14627|NGAN_HANG|480034778
GD497|31/01/2025 23:59|LAI|14676|NGAN_HANG|480034778
GD498|28/02/2025 23:59|LAI|13301|NGAN_HANG|480034778
GD499|31/03/2025 23:59|LAI|14771|NGAN_HANG|480034778
GD500|30/04/2025 23:59|LAI|14343|NGAN_HANG|480034778
GD501|31/05/2025 23:59|LAI|14870|NGAN_HANG|480034778
GD502|30/06/2025 23:59|LAI|14440|NGAN_HANG|480034778
GD503|31/07/2025 23:59|LAI|14970|NGAN_HANG|480034778
GD504|31/08/2025 23:59|LAI|15021|NGAN_HANG|480034778
GD505|30/09/2025 23:59|LAI|14586|NGAN_HANG|480034778
GD506|31/10/2025 23:59|LAI|15121|NGAN_HANG|480034778
GD507|30/11/2025 23:59|LAI|14683|NGAN_HANG|480034778
GD508|31/12/2025 23:59|LAI|15223|NGAN_HANG|480034778
GD509|31/01/2026 23:59|LAI|15274|NGAN_HANG|480034778
GD510|28/02/2026 23:59|LAI|13843|NGAN_HANG|480034778
GD511|31/03/2026 23:59|LAI|15373|NGAN_HANG|480034778
GD512|30/04/2026 23:59|LAI|14928|NGAN_HANG|480034778
GD513|31/05/2026 23:59|LAI|15476|NGAN_HANG|480034778
GD514|30/04/2024 23:59|LAI|48379|NGAN_HANG|828054905
GD515|31/05/2024 23:59|LAI|115530|NGAN_HANG|828054905
GD516|30/06/2024 23:59|LAI|112183|NGAN_HANG|828054905
GD517|31/07/2024 23:59|LAI|116304|NGAN_HANG|828054905
GD518|31/08/2024 23:59|LAI|116699|NGAN_HANG|828054905
GD519|30/09/2024 23:59|LAI|113318|NGAN_HANG|828054905
GD520|31/10/2024 23:59|LAI|117480|NGAN_HANG|828054905
GD521|30/11/2024 23:59|LAI|114077|NGAN_HANG|828054905
GD522|31/12/2024 23:59|LAI|118267|NGAN_HANG|828054905
GD523|31/01/2025 23:59|LAI|118669|NGAN_HANG|828054905
GD524|28/02/2025 23:59|LAI|107549|NGAN_HANG|828054905
GD525|31/03/2025 23:59|LAI|119437|NGAN_HANG|828054905
GD526|30/04/2025 23:59|LAI|115977|NGAN_HANG|828054905
GD527|31/05/2025 23:59|LAI|120237|NGAN_HANG|828054905
GD528|30/06/2025 23:59|LAI|116754|NGAN_HANG|828054905
GD529|31/07/2025 23:59|LAI|121042|NGAN_HANG|828054905
GD530|31/08/2025 23:59|LAI|121453|NGAN_HANG|828054905
GD531|30/09/2025 23:59|LAI|117935|NGAN_HANG|828054905
GD532|31/10/2025 23:59|LAI|122266|NGAN_HANG|828054905
GD533|30/11/2025 23:59|LAI|118724|NGAN_HANG|828054905
GD534|31/12/2025 23:59|LAI|123085|NGAN_HANG|828054905
GD535|31/01/2026 23:59|LAI|123503|NGAN_HANG|828054905
GD536|28/02/2026 23:59|LAI|111930|NGAN_HANG|828054905
GD537|31/03/2026 23:59|LAI|124303|NGAN_HANG|828054905
GD538|30/04/2026 23:59|LAI|120702|NGAN_HANG|828054905
GD539|31/05/2026 23:59|LAI|125135|NGAN_HANG|828054905
GD540|31/10/2020 23:59|LAI|119174|NGAN_HANG|677069247
GD541|30/11/2020 23:59|LAI|119566|NGAN_HANG|677069247
GD542|31/12/2020 23:59|LAI|123957|NGAN_HANG|677069247
GD543|31/01/2021 23:59|LAI|124379|NGAN_HANG|677069247
GD544|28/02/2021 23:59|LAI|112724|NGAN_HANG|677069247
GD545|31/03/2021 23:59|LAI|125184|NGAN_HANG|677069247
GD546|30/04/2021 23:59|LAI|121557|NGAN_HANG|677069247
GD547|31/05/2021 23:59|LAI|126022|NGAN_HANG|677069247
GD548|30/06/2021 23:59|LAI|122371|NGAN_HANG|677069247
GD549|31/07/2021 23:59|LAI|126866|NGAN_HANG|677069247
GD550|31/08/2021 23:59|LAI|127297|NGAN_HANG|677069247
GD551|30/09/2021 23:59|LAI|123609|NGAN_HANG|677069247
GD552|31/10/2021 23:59|LAI|128150|NGAN_HANG|677069247
GD553|30/11/2021 23:59|LAI|124437|NGAN_HANG|677069247
GD554|31/12/2021 23:59|LAI|129008|NGAN_HANG|677069247
GD555|31/01/2022 23:59|LAI|129446|NGAN_HANG|677069247
GD556|28/02/2022 23:59|LAI|117316|NGAN_HANG|677069247
GD557|31/03/2022 23:59|LAI|130284|NGAN_HANG|677069247
GD558|30/04/2022 23:59|LAI|126510|NGAN_HANG|677069247
GD559|31/05/2022 23:59|LAI|131157|NGAN_HANG|677069247
GD560|30/06/2022 23:59|LAI|127357|NGAN_HANG|677069247
GD561|31/07/2022 23:59|LAI|134326|NGAN_HANG|677069247
GD562|31/08/2022 23:59|LAI|144327|NGAN_HANG|677069247
GD563|30/09/2022 23:59|LAI|140146|NGAN_HANG|677069247
GD564|31/10/2022 23:59|LAI|145294|NGAN_HANG|677069247
GD565|30/11/2022 23:59|LAI|141085|NGAN_HANG|677069247
GD566|31/12/2022 23:59|LAI|146267|NGAN_HANG|677069247
GD567|31/01/2023 23:59|LAI|146764|NGAN_HANG|677069247
GD568|28/02/2023 23:59|LAI|133011|NGAN_HANG|677069247
GD569|31/03/2023 23:59|LAI|147714|NGAN_HANG|677069247
GD570|30/04/2023 23:59|LAI|143435|NGAN_HANG|677069247
GD571|31/05/2023 23:59|LAI|148703|NGAN_HANG|677069247
GD572|30/06/2023 23:59|LAI|144395|NGAN_HANG|677069247
GD573|31/07/2023 23:59|LAI|149699|NGAN_HANG|677069247
GD574|31/08/2023 23:59|LAI|150207|NGAN_HANG|677069247
GD575|30/09/2023 23:59|LAI|145856|NGAN_HANG|677069247
GD576|31/10/2023 23:59|LAI|151213|NGAN_HANG|677069247
GD577|30/11/2023 23:59|LAI|146833|NGAN_HANG|677069247
GD578|31/12/2023 23:59|LAI|152226|NGAN_HANG|677069247
GD579|31/01/2024 23:59|LAI|152743|NGAN_HANG|677069247
GD580|29/02/2024 23:59|LAI|143374|NGAN_HANG|677069247
GD581|31/03/2024 23:59|LAI|153749|NGAN_HANG|677069247
GD582|30/04/2024 23:59|LAI|149295|NGAN_HANG|677069247
GD583|31/05/2024 23:59|LAI|154778|NGAN_HANG|677069247
GD584|30/06/2024 23:59|LAI|150294|NGAN_HANG|677069247
GD585|31/07/2024 23:59|LAI|155815|NGAN_HANG|677069247
GD586|31/08/2024 23:59|LAI|156344|NGAN_HANG|677069247
GD587|30/09/2024 23:59|LAI|151815|NGAN_HANG|677069247
GD588|31/10/2024 23:59|LAI|157391|NGAN_HANG|677069247
GD589|30/11/2024 23:59|LAI|152831|NGAN_HANG|677069247
GD590|31/12/2024 23:59|LAI|158445|NGAN_HANG|677069247
GD591|31/01/2025 23:59|LAI|158983|NGAN_HANG|677069247
GD592|28/02/2025 23:59|LAI|144086|NGAN_HANG|677069247
GD593|31/03/2025 23:59|LAI|160013|NGAN_HANG|677069247
GD594|30/04/2025 23:59|LAI|155377|NGAN_HANG|677069247
GD595|31/05/2025 23:59|LAI|161084|NGAN_HANG|677069247
GD596|30/06/2025 23:59|LAI|156418|NGAN_HANG|677069247
GD597|31/07/2025 23:59|LAI|162163|NGAN_HANG|677069247
GD598|31/08/2025 23:59|LAI|162714|NGAN_HANG|677069247
GD599|30/09/2025 23:59|LAI|158000|NGAN_HANG|677069247
GD600|31/10/2025 23:59|LAI|163803|NGAN_HANG|677069247
GD601|30/11/2025 23:59|LAI|159058|NGAN_HANG|677069247
GD602|31/12/2025 23:59|LAI|164900|NGAN_HANG|677069247
GD603|31/01/2026 23:59|LAI|165460|NGAN_HANG|677069247
GD604|28/02/2026 23:59|LAI|149956|NGAN_HANG|677069247
GD605|31/03/2026 23:59|LAI|166532|NGAN_HANG|677069247
GD606|30/04/2026 23:59|LAI|161708|NGAN_HANG|677069247
GD607|31/05/2026 23:59|LAI|167647|NGAN_HANG|677069247
GD608|28/02/2021 23:59|LAI|12123|NGAN_HANG|685730875
GD609|31/03/2021 23:59|LAI|22148|NGAN_HANG|685730875
GD610|30/04/2021 23:59|LAI|21507|NGAN_HANG|685730875
GD611|31/05/2021 23:59|LAI|22297|NGAN_HANG|685730875
GD612|30/06/2021 23:59|LAI|21651|NGAN_HANG|685730875
GD613|31/07/2021 23:59|LAI|22446|NGAN_HANG|685730875
GD614|31/08/2021 23:59|LAI|22522|NGAN_HANG|685730875
GD615|30/09/2021 23:59|LAI|21870|NGAN_HANG|685730875
GD616|31/10/2021 23:59|LAI|22673|NGAN_HANG|685730875
GD617|30/11/2021 23:59|LAI|22994|NGAN_HANG|685730875
GD618|31/12/2021 23:59|LAI|27880|NGAN_HANG|685730875
GD619|31/01/2022 23:59|LAI|27975|NGAN_HANG|685730875
GD620|28/02/2022 23:59|LAI|25353|NGAN_HANG|685730875
GD621|31/03/2022 23:59|LAI|28156|NGAN_HANG|685730875
GD622|30/04/2022 23:59|LAI|27340|NGAN_HANG|685730875
GD623|31/05/2022 23:59|LAI|28344|NGAN_HANG|685730875
GD624|30/06/2022 23:59|LAI|27523|NGAN_HANG|685730875
GD625|31/07/2022 23:59|LAI|28534|NGAN_HANG|685730875
GD626|31/08/2022 23:59|LAI|28631|NGAN_HANG|685730875
GD627|30/09/2022 23:59|LAI|27802|NGAN_HANG|685730875
GD628|31/10/2022 23:59|LAI|28823|NGAN_HANG|685730875
GD629|30/11/2022 23:59|LAI|27988|NGAN_HANG|685730875
GD630|31/12/2022 23:59|LAI|29016|NGAN_HANG|685730875
GD631|31/01/2023 23:59|LAI|29115|NGAN_HANG|685730875
GD632|28/02/2023 23:59|LAI|26386|NGAN_HANG|685730875
GD633|31/03/2023 23:59|LAI|29303|NGAN_HANG|685730875
GD634|30/04/2023 23:59|LAI|28454|NGAN_HANG|685730875
GD635|31/05/2023 23:59|LAI|29499|NGAN_HANG|685730875
GD636|30/06/2023 23:59|LAI|28645|NGAN_HANG|685730875
GD637|31/07/2023 23:59|LAI|29697|NGAN_HANG|685730875
GD638|31/08/2023 23:59|LAI|29798|NGAN_HANG|685730875
GD639|30/09/2023 23:59|LAI|28934|NGAN_HANG|685730875
GD640|31/10/2023 23:59|LAI|29997|NGAN_HANG|685730875
GD641|30/11/2023 23:59|LAI|29128|NGAN_HANG|685730875
GD642|31/12/2023 23:59|LAI|30198|NGAN_HANG|685730875
GD643|31/01/2024 23:59|LAI|30301|NGAN_HANG|685730875
GD644|29/02/2024 23:59|LAI|28442|NGAN_HANG|685730875
GD645|31/03/2024 23:59|LAI|30500|NGAN_HANG|685730875
GD646|30/04/2024 23:59|LAI|29617|NGAN_HANG|685730875
GD647|31/05/2024 23:59|LAI|30704|NGAN_HANG|685730875
GD648|30/06/2024 23:59|LAI|29815|NGAN_HANG|685730875
GD649|31/07/2024 23:59|LAI|30910|NGAN_HANG|685730875
GD650|31/08/2024 23:59|LAI|32467|NGAN_HANG|685730875
GD651|30/09/2024 23:59|LAI|31677|NGAN_HANG|685730875
GD652|31/10/2024 23:59|LAI|32840|NGAN_HANG|685730875
GD653|30/11/2024 23:59|LAI|31889|NGAN_HANG|685730875
GD654|31/12/2024 23:59|LAI|33060|NGAN_HANG|685730875
GD655|31/01/2025 23:59|LAI|33172|NGAN_HANG|685730875
GD656|28/02/2025 23:59|LAI|30064|NGAN_HANG|685730875
GD657|31/03/2025 23:59|LAI|33387|NGAN_HANG|685730875
GD658|30/04/2025 23:59|LAI|32420|NGAN_HANG|685730875
GD659|31/05/2025 23:59|LAI|38072|NGAN_HANG|685730875
GD660|30/06/2025 23:59|LAI|39212|NGAN_HANG|685730875
GD661|31/07/2025 23:59|LAI|40652|NGAN_HANG|685730875
GD662|31/08/2025 23:59|LAI|40790|NGAN_HANG|685730875
GD663|30/09/2025 23:59|LAI|39609|NGAN_HANG|685730875
GD664|31/10/2025 23:59|LAI|41063|NGAN_HANG|685730875
GD665|30/11/2025 23:59|LAI|39874|NGAN_HANG|685730875
GD666|31/12/2025 23:59|LAI|41338|NGAN_HANG|685730875
GD667|31/01/2026 23:59|LAI|41479|NGAN_HANG|685730875
GD668|28/02/2026 23:59|LAI|37592|NGAN_HANG|685730875
GD669|31/03/2026 23:59|LAI|41747|NGAN_HANG|685730875
GD670|30/04/2026 23:59|LAI|40538|NGAN_HANG|685730875
GD671|31/05/2026 23:59|LAI|42027|NGAN_HANG|685730875
GD672|31/05/2022 23:59|LAI|27481|NGAN_HANG|422180908
GD673|30/06/2022 23:59|LAI|34442|NGAN_HANG|422180908
GD674|31/07/2022 23:59|LAI|35707|NGAN_HANG|422180908
GD675|31/08/2022 23:59|LAI|35828|NGAN_HANG|422180908
GD676|30/09/2022 23:59|LAI|34790|NGAN_HANG|422180908
GD677|31/10/2022 23:59|LAI|36068|NGAN_HANG|422180908
GD678|30/11/2022 23:59|LAI|35023|NGAN_HANG|422180908
GD679|31/12/2022 23:59|LAI|36310|NGAN_HANG|422180908
GD680|31/01/2023 23:59|LAI|36433|NGAN_HANG|422180908
GD681|28/02/2023 23:59|LAI|33019|NGAN_HANG|422180908
GD682|31/03/2023 23:59|LAI|36669|NGAN_HANG|422180908
GD683|30/04/2023 23:59|LAI|35607|NGAN_HANG|422180908
GD684|31/05/2023 23:59|LAI|38604|NGAN_HANG|422180908
GD685|30/06/2023 23:59|LAI|43091|NGAN_HANG|422180908
GD686|31/07/2023 23:59|LAI|44674|NGAN_HANG|422180908
GD687|31/08/2023 23:59|LAI|44826|NGAN_HANG|422180908
GD688|30/09/2023 23:59|LAI|43527|NGAN_HANG|422180908
GD689|31/10/2023 23:59|LAI|45126|NGAN_HANG|422180908
GD690|30/11/2023 23:59|LAI|43819|NGAN_HANG|422180908
GD691|31/12/2023 23:59|LAI|45428|NGAN_HANG|422180908
GD692|31/01/2024 23:59|LAI|45582|NGAN_HANG|422180908
GD693|29/02/2024 23:59|LAI|42786|NGAN_HANG|422180908
GD694|31/03/2024 23:59|LAI|45883|NGAN_HANG|422180908
GD695|30/04/2024 23:59|LAI|44553|NGAN_HANG|422180908
GD696|31/05/2024 23:59|LAI|46190|NGAN_HANG|422180908
GD697|30/06/2024 23:59|LAI|44852|NGAN_HANG|422180908
GD698|31/07/2024 23:59|LAI|46499|NGAN_HANG|422180908
GD699|31/08/2024 23:59|LAI|46657|NGAN_HANG|422180908
GD700|30/09/2024 23:59|LAI|45305|NGAN_HANG|422180908
GD701|31/10/2024 23:59|LAI|46970|NGAN_HANG|422180908
GD702|30/11/2024 23:59|LAI|45609|NGAN_HANG|422180908
GD703|31/12/2024 23:59|LAI|47284|NGAN_HANG|422180908
GD704|31/01/2025 23:59|LAI|47445|NGAN_HANG|422180908
GD705|28/02/2025 23:59|LAI|42999|NGAN_HANG|422180908
GD706|31/03/2025 23:59|LAI|47752|NGAN_HANG|422180908
GD707|30/04/2025 23:59|LAI|46369|NGAN_HANG|422180908
GD708|31/05/2025 23:59|LAI|48072|NGAN_HANG|422180908
GD709|30/06/2025 23:59|LAI|46679|NGAN_HANG|422180908
GD710|31/07/2025 23:59|LAI|48394|NGAN_HANG|422180908
GD711|31/08/2025 23:59|LAI|48558|NGAN_HANG|422180908
GD712|30/09/2025 23:59|LAI|47151|NGAN_HANG|422180908
GD713|31/10/2025 23:59|LAI|48883|NGAN_HANG|422180908
GD714|30/11/2025 23:59|LAI|47467|NGAN_HANG|422180908
GD715|31/12/2025 23:59|LAI|49211|NGAN_HANG|422180908
GD716|31/01/2026 23:59|LAI|49378|NGAN_HANG|422180908
GD717|28/02/2026 23:59|LAI|44751|NGAN_HANG|422180908
GD718|31/03/2026 23:59|LAI|49697|NGAN_HANG|422180908
GD719|30/04/2026 23:59|LAI|48258|NGAN_HANG|422180908
GD720|31/05/2026 23:59|LAI|50030|NGAN_HANG|422180908
GD721|31/10/2023 23:59|LAI|83017|NGAN_HANG|489952073
GD722|30/11/2023 23:59|LAI|138636|NGAN_HANG|489952073
GD723|31/12/2023 23:59|LAI|143728|NGAN_HANG|489952073
GD724|31/01/2024 23:59|LAI|144216|NGAN_HANG|489952073
GD725|29/02/2024 23:59|LAI|135370|NGAN_HANG|489952073
GD726|31/03/2024 23:59|LAI|145166|NGAN_HANG|489952073
GD727|30/04/2024 23:59|LAI|140960|NGAN_HANG|489952073
GD728|31/05/2024 23:59|LAI|146138|NGAN_HANG|489952073
GD729|30/06/2024 23:59|LAI|141904|NGAN_HANG|489952073
GD730|31/07/2024 23:59|LAI|147117|NGAN_HANG|489952073
GD731|31/08/2024 23:59|LAI|147616|NGAN_HANG|489952073
GD732|30/09/2024 23:59|LAI|143340|NGAN_HANG|489952073
GD733|31/10/2024 23:59|LAI|148605|NGAN_HANG|489952073
GD734|30/11/2024 23:59|LAI|144300|NGAN_HANG|489952073
GD735|31/12/2024 23:59|LAI|149600|NGAN_HANG|489952073
GD736|31/01/2025 23:59|LAI|150108|NGAN_HANG|489952073
GD737|28/02/2025 23:59|LAI|136042|NGAN_HANG|489952073
GD738|31/03/2025 23:59|LAI|151080|NGAN_HANG|489952073
GD739|30/04/2025 23:59|LAI|146703|NGAN_HANG|489952073
GD740|31/05/2025 23:59|LAI|152092|NGAN_HANG|489952073
GD741|30/06/2025 23:59|LAI|147686|NGAN_HANG|489952073
GD742|31/07/2025 23:59|LAI|153110|NGAN_HANG|489952073
GD743|31/08/2025 23:59|LAI|153631|NGAN_HANG|489952073
GD744|30/09/2025 23:59|LAI|149180|NGAN_HANG|489952073
GD745|31/10/2025 23:59|LAI|154659|NGAN_HANG|489952073
GD746|30/11/2025 23:59|LAI|150179|NGAN_HANG|489952073
GD747|31/12/2025 23:59|LAI|155695|NGAN_HANG|489952073
GD748|31/01/2026 23:59|LAI|156224|NGAN_HANG|489952073
GD749|28/02/2026 23:59|LAI|141585|NGAN_HANG|489952073
GD750|31/03/2026 23:59|LAI|157236|NGAN_HANG|489952073
GD751|30/04/2026 23:59|LAI|152680|NGAN_HANG|489952073
GD752|31/05/2026 23:59|LAI|158288|NGAN_HANG|489952073
GD753|30/04/2022 23:59|LAI|84999|NGAN_HANG|341042880
GD754|31/05/2022 23:59|LAI|175954|NGAN_HANG|341042880
GD755|30/06/2022 23:59|LAI|170856|NGAN_HANG|341042880
GD756|31/07/2022 23:59|LAI|177132|NGAN_HANG|341042880
GD757|31/08/2022 23:59|LAI|177734|NGAN_HANG|341042880
GD758|30/09/2022 23:59|LAI|172585|NGAN_HANG|341042880
GD759|31/10/2022 23:59|LAI|178924|NGAN_HANG|341042880
GD760|30/11/2022 23:59|LAI|173740|NGAN_HANG|341042880
GD761|31/12/2022 23:59|LAI|180122|NGAN_HANG|341042880
GD762|31/01/2023 23:59|LAI|180734|NGAN_HANG|341042880
GD763|28/02/2023 23:59|LAI|151285|NGAN_HANG|341042880
GD764|31/03/2023 23:59|LAI|168008|NGAN_HANG|341042880
GD765|30/04/2023 23:59|LAI|163141|NGAN_HANG|341042880
GD766|31/05/2023 23:59|LAI|169133|NGAN_HANG|341042880
GD767|30/06/2023 23:59|LAI|167275|NGAN_HANG|341042880
GD768|31/07/2023 23:59|LAI|175240|NGAN_HANG|341042880
GD769|31/08/2023 23:59|LAI|175835|NGAN_HANG|341042880
GD770|30/09/2023 23:59|LAI|170741|NGAN_HANG|341042880
GD771|31/10/2023 23:59|LAI|177012|NGAN_HANG|341042880
GD772|30/11/2023 23:59|LAI|171884|NGAN_HANG|341042880
GD773|31/12/2023 23:59|LAI|178198|NGAN_HANG|341042880
GD774|31/01/2024 23:59|LAI|178803|NGAN_HANG|341042880
GD775|29/02/2024 23:59|LAI|167836|NGAN_HANG|341042880
GD776|31/03/2024 23:59|LAI|179981|NGAN_HANG|341042880
GD777|30/04/2024 23:59|LAI|174767|NGAN_HANG|341042880
GD778|31/05/2024 23:59|LAI|181186|NGAN_HANG|341042880
GD779|30/06/2024 23:59|LAI|175937|NGAN_HANG|341042880
GD780|31/07/2024 23:59|LAI|182399|NGAN_HANG|341042880
GD781|31/08/2024 23:59|LAI|183019|NGAN_HANG|341042880
GD782|30/09/2024 23:59|LAI|177717|NGAN_HANG|341042880
GD783|31/10/2024 23:59|LAI|184244|NGAN_HANG|341042880
GD784|30/11/2024 23:59|LAI|178907|NGAN_HANG|341042880
GD785|31/12/2024 23:59|LAI|185478|NGAN_HANG|341042880
GD786|31/01/2025 23:59|LAI|186108|NGAN_HANG|341042880
GD787|28/02/2025 23:59|LAI|168669|NGAN_HANG|341042880
GD788|31/03/2025 23:59|LAI|187313|NGAN_HANG|341042880
GD789|30/04/2025 23:59|LAI|181887|NGAN_HANG|341042880
GD790|31/05/2025 23:59|LAI|188568|NGAN_HANG|341042880
GD791|30/06/2025 23:59|LAI|183105|NGAN_HANG|341042880
GD792|31/07/2025 23:59|LAI|189830|NGAN_HANG|341042880
GD793|31/08/2025 23:59|LAI|190475|NGAN_HANG|341042880
GD794|30/09/2025 23:59|LAI|184957|NGAN_HANG|341042880
GD795|31/10/2025 23:59|LAI|191751|NGAN_HANG|341042880
GD796|30/11/2025 23:59|LAI|186196|NGAN_HANG|341042880
GD797|31/12/2025 23:59|LAI|193035|NGAN_HANG|341042880
GD798|31/01/2026 23:59|LAI|193690|NGAN_HANG|341042880
GD799|28/02/2026 23:59|LAI|175541|NGAN_HANG|341042880
GD800|31/03/2026 23:59|LAI|194945|NGAN_HANG|341042880
